source_seed_id,platform,source_title,handle,url,source_kind,source_scope_guess,priority,discovered_from,discovered_from_url,why_seeded,expected_value,known_risks,initial_status,monitoring_enabled,rights_policy,notes
1,telegram,Красивые места России,@viewrussia,https://t.me/viewrussia,travel_media,mixed,1,manual_seed,user_provided_seed_list,"визуальный канал о красивых местах России, локациях и координатах",strong visual recall for Russian place/travel posts,возможные права на пользовательские фото; media reuse только после rights check,seed_monitor_candidate,true,unknown,priority visual seed
2,telegram,РГО,@rgo1845,https://t.me/rgo1845,official_project,mixed,1,manual_seed,user_provided_seed_list,"география, путешествия по России, сильный фотоархив, проектный источник",institutional geography/travel source with high-quality media,возможны новости/анонсы; media reuse требует rights check,seed_monitor_candidate,true,unknown,official/project source
3,telegram,Путешествуем.РФ,@puteshestvuem_rf,https://t.me/puteshestvuem_rf,official_project,mixed,1,manual_seed,user_provided_seed_list,"главный канал о путешествиях по России, маршруты, места, карточки",routes and regional travel materials,"официально-проектный тон, возможны промо/анонсы",seed_monitor_candidate,true,unknown,watch ad/promotional tone
4,telegram,RUSSPASS,@russpassmag,https://t.me/russpassmag,travel_service,mixed,2,manual_seed,user_provided_seed_list,"путешествия по России, маршруты, туристические места",official/media route materials,промо/коммерческий контент; нужен ad_score,seed_candidate,false,unknown,candidate until ad_score evidence
5,telegram,Туту,@tutu_travel,https://t.me/tutu_travel,travel_service,mixed,2,manual_seed,user_provided_seed_list,крупный travel channel с большим объёмом контента,large travel agenda source and graph seed,промо/сервисный контент; нужен ad_score и source_novelty_score,seed_candidate,false,unknown,candidate only
6,telegram,Вокруг Света,@vokrugsveta1861,https://t.me/vokrugsveta1861,travel_media,mixed,1,manual_seed,user_provided_seed_list,"travel/history/science media, сильный контент о местах и регионах",external travel/history view of regions,часть контента не travel; нужен semantic filter,seed_monitor_candidate,true,unknown,high-value media seed
7,telegram,Моя Планета,@moya_planeta,https://t.me/moya_planeta,travel_media,mixed,2,manual_seed,user_provided_seed_list,крупный travel/media источник,large media source for travel/nature posts,высокая новостность/происшествия; нужен newsiness_score,seed_candidate,false,unknown,strict newsiness filter
8,telegram,Путешествия со смыслом / Алексей Жирухин,@bepowerback_travel,https://t.me/bepowerback_travel,author_channel,external,1,manual_seed,user_provided_seed_list,авторский блог о путешествиях по России и труднодоступных местах,authorial Russia travel perspective,может редко писать о Калининграде,seed_monitor_candidate,true,unknown,author/blogger layer
9,telegram,Своим Ходом — Виталик и Лиза,@svoimxodom,https://t.me/svoimxodom,author_channel,external,2,manual_seed,user_provided_seed_list,крупный авторский travel channel,authorial travel source and cross-platform identity,много международного контента; нужен region relevance filter,seed_candidate,false,unknown,candidate
10,telegram,Нежный Travel,@nejniy_travel,https://t.me/nejniy_travel,author_channel,external,1,manual_seed,user_provided_seed_list,авторский travel channel с маршрутами и сильными фото/видео,visual author travel source,много не-российского контента; нужен region relevance filter,seed_monitor_candidate,true,unknown,author/visual seed
11,telegram,"Путешествия по России / паспорт, виза, два билета",@pasport_visa_tickets,https://t.me/pasport_visa_tickets,travel_media,mixed,2,manual_seed,user_provided_seed_list,travel channel с местами и локациями,Russia travel places and locations,заметная новостность/incident/travel news; строгий newsiness filter,seed_candidate,false,unknown,strict newsiness
12,telegram,Alexander Pilot,@dashapilotessa,https://t.me/dashapilotessa,author_channel,external,2,manual_seed,user_provided_seed_list,авторский travel channel с большим числом фото/видео,author travel visuals,много международного контента,seed_candidate,false,unknown,candidate
13,telegram,Из Москвы на выходные,@izmoskvynavyhodnye,https://t.me/izmoskvynavyhodnye,route_project,external,2,manual_seed,user_provided_seed_list,"weekend-route формат, полезен для source discovery",weekend-route source discovery,география вокруг Москвы; Калининград может встречаться редко,seed_candidate,false,unknown,mostly discovery
14,telegram,Travelhacks,@travelhacks,https://t.me/travelhacks,travel_media,external,3,manual_seed,user_provided_seed_list,"travel/lifehack канал из каталогов, полезен для graph discovery",graph discovery / travel hacks,может быть мало сильных фото; скорее discovery source,seed_candidate,false,unknown,discovery source
15,telegram,Зона комфорта,@russiamatters,https://t.me/russiamatters,travel_media,external,1,manual_seed,user_provided_seed_list,"канал о путешествиях по России, отелях, ресторанах и музеях",Russia travel/hotels/restaurants/museums,проверить фактическую визуальную силу,seed_monitor_candidate,true,unknown,monitor candidate
16,telegram,Земля приключений,@travelerdv,https://t.me/travelerdv,official_project,mixed,2,manual_seed,user_provided_seed_list,"проект о путешествиях и конкурсах, полезен как graph/discovery hub",project/discovery hub,"фокус на Дальний Восток, Калининград может быть редким",seed_candidate,false,unknown,discovery hub
