place_id,canonical_name,place_type,municipality,district_or_okrug,is_city,is_settlement,is_tourist_place,is_nature_place,is_historical_name,aliases,old_names,latin_aliases,common_misspellings,geo_scope,priority_tier,ambiguity_level,allowed_for_kaliningrad_scope,requires_context,reject_if_external_context,source_url,source_note
kgd_kaliningradskaya_oblast,Калининградская область,region,,,false,false,true,false,false,Калининградский регион;Калининградчина;янтарный край;самый западный регион России;российская Балтика;Балтика в России,,,,kaliningrad_oblast,core,low,true,false,true,https://gov39.ru/vlast/muni/,official region + common aliases
kgd_39_region,39 регион,region,,,false,false,true,false,false,,,,,kaliningrad_oblast,alias_only,high,true,true,true,https://gov39.ru/vlast/muni/,ambiguous car-code style alias; requires Kaliningrad context
kgd_kaliningrad,Калининград,city,Калининград,,true,true,true,false,false,,Кёнигсберг;Кенигсберг;Koenigsberg;Königsberg,,,kaliningrad_oblast,core,low,true,false,true,https://gov39.ru/vlast/muni/,municipal center; old names retained as scope aliases
kgd_bagrationovsk,Багратионовск,city,Багратионовск,,true,true,true,false,false,,Прейсиш-Эйлау;Preussisch Eylau,,,kaliningrad_oblast,core,low,true,false,true,https://gov39.ru/vlast/muni/,municipal center; old names retained as scope aliases
kgd_baltiisk,Балтийск,city,Балтийск,,true,true,true,false,false,,Пиллау;Pillau,,,kaliningrad_oblast,core,low,true,false,true,https://gov39.ru/vlast/muni/,municipal center; old names retained as scope aliases
kgd_gvardeisk,Гвардейск,city,Гвардейск,,true,true,true,false,false,,Тапиау;Tapiau,,,kaliningrad_oblast,core,low,true,false,true,https://gov39.ru/vlast/muni/,municipal center; old names retained as scope aliases
kgd_gurevsk,Гурьевск,city,Гурьевск,,true,true,true,false,false,,Нойхаузен;Neuhausen,,,kaliningrad_oblast,core,low,true,false,true,https://gov39.ru/vlast/muni/,municipal center; old names retained as scope aliases
kgd_gusev,Гусев,city,Гусев,,true,true,true,false,false,,Гумбиннен;Gumbinnen,,,kaliningrad_oblast,core,low,true,false,true,https://gov39.ru/vlast/muni/,municipal center; old names retained as scope aliases
kgd_zelenogradsk,Зеленоградск,city,Зеленоградск,,true,true,true,false,false,,Кранц;Cranz,,,kaliningrad_oblast,core,low,true,false,true,https://gov39.ru/vlast/muni/,municipal center; old names retained as scope aliases
kgd_krasnoznamensk,Краснознаменск,city,Краснознаменск,,true,true,true,false,false,,Ласденен;Хазельберг;Lasdehnen;Haselberg,,,kaliningrad_oblast,core,low,true,false,true,https://gov39.ru/vlast/muni/,municipal center; old names retained as scope aliases
